Type,Index,Description,Subject,Gold,GPT3_normal,GPT3.5_normal,GPT4_normal,GPT4_CoT,GPT4_CoT_self_refine,GPT4_CoT+OneShot,GPT4_CoT+SC@8
MCQ(multiple),12,JEE Adv 2016 Paper 2,phy,ABD,AC,AC,AB,ABCD,ABCD,ABCD,ABCD
MCQ,19,JEE Adv 2016 Paper 2,chem,D,C,A,D,C,C,C,C
MCQ,22,JEE Adv 2016 Paper 2,chem,A,D,A,A,A,A,A,A
MCQ(multiple),25,JEE Adv 2016 Paper 2,chem,AC,AC,ABC,AB,AC,AC,ABC,A
MCQ(multiple),26,JEE Adv 2016 Paper 2,chem,AB,A,A,AB,AB,AB,AB,AB
MCQ(multiple),27,JEE Adv 2016 Paper 2,chem,BCD,ACD,ACD,ABCD,ABCD,ABCD,ABCD,ABCD
MCQ(multiple),28,JEE Adv 2016 Paper 2,chem,ABC,ABCD,ABC,ABC,ABC,ABC,ABC,ABC
MCQ(multiple),29,JEE Adv 2016 Paper 2,chem,BD,ABD,ABD,ABCD,BC,BC,ABCD,BCD
MCQ(multiple),30,JEE Adv 2016 Paper 2,chem,BC,ABD,BC,BD,BD,BD,BCD,BD
MCQ,37,JEE Adv 2016 Paper 2,math,B,A,D,None,None,1,D,D
MCQ,38,JEE Adv 2016 Paper 2,math,B,A,C,C,D,D,C,B
MCQ,40,JEE Adv 2016 Paper 2,math,A,C,None,None,None,None,None,A
MCQ,42,JEE Adv 2016 Paper 2,math,C,A,A,None,C,C,None,C
MCQ(multiple),44,JEE Adv 2016 Paper 2,math,AB,ABD,ABC,AB,AB,AB,ABCD,AB
MCQ(multiple),45,JEE Adv 2016 Paper 2,math,AD,ACD,None,D,None,None,None,A
MCQ(multiple),46,JEE Adv 2016 Paper 2,math,BC,AD,AB,AC,AD,AD,AD,CD
MCQ(multiple),47,JEE Adv 2016 Paper 2,math,ACD,A,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD
MCQ(multiple),48,JEE Adv 2016 Paper 2,math,ACD,A,B,ABCD,None,None,ABD,ABCD
MCQ(multiple),49,JEE Adv 2016 Paper 2,math,BCD,A,BC,ABCD,BCD,BCD,BCD,BCD
MCQ(multiple),50,JEE Adv 2016 Paper 2,math,BC,B,B,B,BC,BC,BCD,BCD
MCQ(multiple),1,JEE Adv 2017 Paper 1,phy,ABD,AD,AD,ABD,ABD,ABD,ABD,ABD
MCQ(multiple),4,JEE Adv 2017 Paper 1,phy,C,ABCD,ABC,ABC,ABC,ABC,ABC,ABC
MCQ(multiple),7,JEE Adv 2017 Paper 1,phy,ACD,A,AD,AC,C,C,ABC,AC
Integer,8,JEE Adv 2017 Paper 1,phy,6,3,None,3,2,None,None,3
Integer,9,JEE Adv 2017 Paper 1,phy,5,6,None,3,5,5,7,3
Integer,11,JEE Adv 2017 Paper 1,phy,6,None,None,1,6,6,0.76,4
Integer,12,JEE Adv 2017 Paper 1,phy,5,None,5,5,5,5,5,5
MCQ(multiple),19,JEE Adv 2017 Paper 1,chem,ABC,ABD,CD,AC,ABC,ABC,AC,ABC
MCQ(multiple),21,JEE Adv 2017 Paper 1,chem,ABD,ABC,B,ABD,BD,BD,ABD,BD
MCQ(multiple),22,JEE Adv 2017 Paper 1,chem,CD,D,CD,D,CD,CD,D,CD
MCQ(multiple),23,JEE Adv 2017 Paper 1,chem,BCD,BD,D,BC,BD,BD,B,BC
Integer,26,JEE Adv 2017 Paper 1,chem,2,5,None,2000000,2,2,2,2
Integer,27,JEE Adv 2017 Paper 1,chem,6,None,None,6,6,6,4,6
Integer,28,JEE Adv 2017 Paper 1,chem,6,8,6,50,5,6,7,2
Integer,29,JEE Adv 2017 Paper 1,chem,5,5,4,6,5,5,5,6
MCQ(multiple),37,JEE Adv 2017 Paper 1,math,ABC,BD,D,AD,ABCD,ABCD,AB,ABCD
MCQ(multiple),38,JEE Adv 2017 Paper 1,math,C,AC,B,AC,A,A,BCD,None
MCQ(multiple),40,JEE Adv 2017 Paper 1,math,AB,ABCD,ABD,AB,AB,AB,AB,ABC
MCQ(multiple),41,JEE Adv 2017 Paper 1,math,BD,BCD,B,B,BC,BC,B,BD
MCQ(multiple),42,JEE Adv 2017 Paper 1,math,AB,None,AB,AB,AB,AB,B,AB
MCQ(multiple),43,JEE Adv 2017 Paper 1,math,AB,ACD,ABCD,AB,AB,AB,ABCD,AB
Integer,44,JEE Adv 2017 Paper 1,math,2,1,2,4,1,1,1,1
Integer,45,JEE Adv 2017 Paper 1,math,2,None,1,0,None,None,3,0
Integer,46,JEE Adv 2017 Paper 1,math,1,0,None,None,3,3,1,3
Integer,47,JEE Adv 2017 Paper 1,math,5,3628800,None,5,80640,None,0.5,5
Integer,48,JEE Adv 2017 Paper 1,math,6,4,2,16,2,4,3,6
MCQ,1,JEE Adv 2017 Paper 2,phy,A,D,D,A,A,A,A,A
MCQ,3,JEE Adv 2017 Paper 2,phy,D,A,B,D,D,D,D,D
MCQ,6,JEE Adv 2017 Paper 2,phy,B,B,C,B,B,B,B,B
MCQ,7,JEE Adv 2017 Paper 2,phy,B,A,B,None,B,B,B,B
MCQ(multiple),9,JEE Adv 2017 Paper 2,phy,AD,A,AB,AD,AD,AD,AD,AD
MCQ,20,JEE Adv 2017 Paper 2,chem,B,D,B,B,B,B,B,B
MCQ,21,JEE Adv 2017 Paper 2,chem,A,B,B,C,A,A,A,C
MCQ,22,JEE Adv 2017 Paper 2,chem,C,A,C,C,C,C,C,C
MCQ,23,JEE Adv 2017 Paper 2,chem,C,A,B,C,C,C,C,C
MCQ(multiple),26,JEE Adv 2017 Paper 2,chem,AB,BD,B,AB,AB,AB,AB,AB
MCQ(multiple),27,JEE Adv 2017 Paper 2,chem,BD,AC,AB,BD,ABCD,C,BD,ABD
MCQ(multiple),28,JEE Adv 2017 Paper 2,chem,AB,ABD,AB,AB,AB,AB,AB,AB
MCQ(multiple),30,JEE Adv 2017 Paper 2,chem,ABD,AD,BD,ABD,ABD,ABD,ABD,ABD
MCQ(multiple),31,JEE Adv 2017 Paper 2,chem,AD,ABCD,A,AD,AD,AD,A,AD
MCQ,37,JEE Adv 2017 Paper 2,math,C,C,A,None,C,C,None,C
MCQ,38,JEE Adv 2017 Paper 2,math,D,None,B,D,D,D,D,D
MCQ,39,JEE Adv 2017 Paper 2,math,A,D,C,A,A,None,None,A
MCQ,40,JEE Adv 2017 Paper 2,math,D,C,B,D,C,C,D,D
MCQ,41,JEE Adv 2017 Paper 2,math,B,None,None,None,None,None,B,B
MCQ,42,JEE Adv 2017 Paper 2,math,D,C,B,C,C,C,D,D
MCQ,43,JEE Adv 2017 Paper 2,math,B,A,B,B,B,B,B,B
MCQ(multiple),46,JEE Adv 2017 Paper 2,math,AC,A,AC,AC,AC,AC,AC,AC
MCQ(multiple),47,JEE Adv 2017 Paper 2,math,AD,AC,BD,AC,AC,AC,BD,AC
MCQ(multiple),48,JEE Adv 2017 Paper 2,math,BC,ACD,ACD,AC,AC,AC,AD,AC
MCQ(multiple),49,JEE Adv 2017 Paper 2,math,BC,D,D,AC,BC,BC,BC,ABC
MCQ(multiple),50,JEE Adv 2017 Paper 2,math,BD,D,A,BD,BC,BC,BD,BCD
MCQ(multiple),1,JEE Adv 2018 Paper 1,phy,BC,CD,BC,BC,BC,BC,BC,BC
MCQ(multiple),2,JEE Adv 2018 Paper 1,phy,AC,ACD,AC,AC,AC,AC,C,B
MCQ(multiple),3,JEE Adv 2018 Paper 1,phy,AC,AB,ACD,AC,AC,AC,AC,AC
MCQ(multiple),5,JEE Adv 2018 Paper 1,phy,ABD,AD,ABC,ABC,ABCD,ABCD,ABC,ABC
Numeric,7,JEE Adv 2018 Paper 1,phy,2,6,1.32,0.62,0.5,0.5,None,2
Numeric,8,JEE Adv 2018 Paper 1,phy,5,33,33,29.06,2.79,2.79,4.36,11.74
Numeric,9,JEE Adv 2018 Paper 1,phy,0.75,2.88,0.47,0.96,None,None,0.36,0.5
Numeric,13,JEE Adv 2018 Paper 1,phy,130,1.18,0.16,0.01,0.35,0.35,2.11,1.07
MCQ(multiple),19,JEE Adv 2018 Paper 1,chem,BC,A,B,BC,BCD,BCD,BC,BC
MCQ(multiple),20,JEE Adv 2018 Paper 1,chem,BC,ABCD,ABD,BCD,BCD,BCD,BCD,BCD
MCQ(multiple),21,JEE Adv 2018 Paper 1,chem,ABC,ACD,ABC,BCD,BCD,BCD,BCD,ABCD
Numeric,25,JEE Adv 2018 Paper 1,chem,1,10,4,3,2,2,4,3
Numeric,26,JEE Adv 2018 Paper 1,chem,2992,1620,2584.44,3336,2776,2776,2876,1604
Numeric,27,JEE Adv 2018 Paper 1,chem,3,1.6,6,6,5,5,6,6
Numeric,28,JEE Adv 2018 Paper 1,chem,10,0.14,1.81,10,None,None,10,0.1
Numeric,30,JEE Adv 2018 Paper 1,chem,19,5,1.13,1.22,19,19,None,19
Numeric,31,JEE Adv 2018 Paper 1,chem,4.47,0.00003,0.00001,1.41,14.1,10,None,0.0141
MCQ(multiple),37,JEE Adv 2018 Paper 1,math,ABD,ABD,A,A,A,A,A,A
MCQ(multiple),38,JEE Adv 2018 Paper 1,math,BCD,ABD,BC,D,A,A,ABCD,D
MCQ(multiple),39,JEE Adv 2018 Paper 1,math,CD,AD,CD,C,CD,CD,ACD,C
MCQ(multiple),40,JEE Adv 2018 Paper 1,math,ABD,BD,ABD,AD,ABD,ABD,ABD,ABD
MCQ(multiple),41,JEE Adv 2018 Paper 1,math,BC,B,AD,BD,None,None,AC,BC
Numeric,43,JEE Adv 2018 Paper 1,math,8,None,18,8.4,7,7,None,11.31
Numeric,44,JEE Adv 2018 Paper 1,math,625,800,375,500,625,500,500,625
Numeric,45,JEE Adv 2018 Paper 1,math,3748,4036,2840,3749,3749,3750,3750,3749
Numeric,46,JEE Adv 2018 Paper 1,math,2,2,2,1,1,1,2,1
Numeric,47,JEE Adv 2018 Paper 1,math,1,2,0,0,1,2,2,0
Numeric,48,JEE Adv 2018 Paper 1,math,3,0,2,3,3,3,6,3
Numeric,49,JEE Adv 2018 Paper 1,math,0.5,0.87,0.87,None,0.87,0.5,None,-0.75
Numeric,50,JEE Adv 2018 Paper 1,math,4,-5,2.44,2.33,2.33,2.33,2.33,2.33
MCQ(multiple),1,JEE Adv 2018 Paper 2,phy,ABD,BC,B,D,BD,B,None,B
MCQ(multiple),2,JEE Adv 2018 Paper 2,phy,ACD,BCD,ACD,ACD,CD,CD,ACD,ACD
MCQ(multiple),5,JEE Adv 2018 Paper 2,phy,AC,AC,BC,AC,AC,AC,AC,AC
MCQ(multiple),6,JEE Adv 2018 Paper 2,phy,AC,AC,A,ABCD,B,B,ACD,ABC
Numeric,7,JEE Adv 2018 Paper 2,phy,6.3,25.2,27.04,6.3,6.3,6.3,6.3,6.3
Numeric,8,JEE Adv 2018 Paper 2,phy,30,0.43,60,30,44.71,30,14.99,14.96
Numeric,9,JEE Adv 2018 Paper 2,phy,2,10,2000,1,1,1,2,2
Numeric,10,JEE Adv 2018 Paper 2,phy,5.56,250,99505.05,0.51,0.05,0.51,0.505,0.51
Numeric,11,JEE Adv 2018 Paper 2,phy,3,0.0015,3,3,0.33,0.33,None,3
Numeric,12,JEE Adv 2018 Paper 2,phy,900,0,-174.16,1200,561.6,561.6,1162.5,900
Numeric,13,JEE Adv 2018 Paper 2,phy,24,None,None,7.2,0.0036,0.0036,3.6,2.39
Numeric,14,JEE Adv 2018 Paper 2,phy,3,1.5,16,4,4,4,3,2
MCQ(multiple),19,JEE Adv 2018 Paper 2,chem,ABD,AD,BC,AB,ABD,ABD,ABD,ABD
MCQ(multiple),20,JEE Adv 2018 Paper 2,chem,BD,ABD,BCD,ABCD,ABCD,ABCD,BCD,ABCD
Numeric,25,JEE Adv 2018 Paper 2,chem,6,8,9,10,6,6,6,6
Numeric,26,JEE Adv 2018 Paper 2,chem,6.47,0.1,6.47,0.65,4.31,4.31,0.207,19.31
Numeric,27,JEE Adv 2018 Paper 2,chem,126,845.45,22.5,126,126,126,129,126
Numeric,30,JEE Adv 2018 Paper 2,chem,-14.6,-17.7,-4.16,-14.6,-6.6,-6.6,-14.6,-12
Numeric,31,JEE Adv 2018 Paper 2,chem,8500,7000,9022.5,8500,1500,1500,8500,3500
Numeric,32,JEE Adv 2018 Paper 2,chem,-11.62,-5.81,0,5.78,1731,None,-1.73,5.81
MCQ(multiple),37,JEE Adv 2018 Paper 2,math,D,AD,BD,ABCD,AD,AD,AC,CD
MCQ(multiple),41,JEE Adv 2018 Paper 2,math,ACD,C,AC,ABCD,ABCD,ABCD,ABCD,ABCD
Numeric,43,JEE Adv 2018 Paper 2,math,2,None,1.63,-5.44,4.29,4.29,None,0.19
Numeric,44,JEE Adv 2018 Paper 2,math,4,0,2,2,6,3,3,1
Numeric,45,JEE Adv 2018 Paper 2,math,119,-0.93,-10,608.21,119.06,119.06,None,-1254.38
Numeric,46,JEE Adv 2018 Paper 2,math,0.4,None,None,0.4,-0.4,None,None,-0.4
Numeric,47,JEE Adv 2018 Paper 2,math,2,0.69,2.67,None,None,None,1.77,4
Numeric,48,JEE Adv 2018 Paper 2,math,8,0,0,None,5,5,None,3
Numeric,49,JEE Adv 2018 Paper 2,math,0.5,0.25,0.25,0,0,0,0.5,0
Numeric,50,JEE Adv 2018 Paper 2,math,646,745000,184.92,-2,4.86,0.86,207,0.35
MCQ,1,JEE Adv 2019 Paper 1,phy,A,B,C,C,C,C,C,A
MCQ,2,JEE Adv 2019 Paper 1,phy,C,AC,A,C,None,D,None,A
MCQ,3,JEE Adv 2019 Paper 1,phy,A,A,A,A,D,None,A,A
MCQ,4,JEE Adv 2019 Paper 1,phy,B,D,D,None,C,C,A,B
MCQ(multiple),8,JEE Adv 2019 Paper 1,phy,ABC,ABCD,ACD,AB,ABD,ABC,AB,AB
MCQ(multiple),11,JEE Adv 2019 Paper 1,phy,ABC,ABCD,ABC,ABC,ABD,AB,B,BC
MCQ(multiple),12,JEE Adv 2019 Paper 1,phy,BC,ABCD,BC,AC,BD,D,BD,BD
Numeric,16,JEE Adv 2019 Paper 1,phy,1,None,None,0.69,0,None,1,1
MCQ,19,JEE Adv 2019 Paper 1,chem,C,A,C,B,B,B,B,B
MCQ,20,JEE Adv 2019 Paper 1,chem,C,D,C,C,C,C,C,C
MCQ(multiple),23,JEE Adv 2019 Paper 1,chem,AB,ABCD,ABC,ABCD,AB,AB,ABCD,AB
MCQ(multiple),24,JEE Adv 2019 Paper 1,chem,ABD,BD,ACD,ABD,ABD,ABD,ABD,ABD
MCQ(multiple),25,JEE Adv 2019 Paper 1,chem,CD,ABC,AC,ACD,ACD,ACD,ABC,ACD
MCQ(multiple),26,JEE Adv 2019 Paper 1,chem,ACD,ABCD,AD,ABCD,ACD,ACD,ACD,ACD
MCQ(multiple),27,JEE Adv 2019 Paper 1,chem,BD,BC,ABCD,BD,BD,BD,BD,BD
MCQ(multiple),28,JEE Adv 2019 Paper 1,chem,ABD,BC,A,ABC,AB,AB,ABCD,AB
MCQ(multiple),29,JEE Adv 2019 Paper 1,chem,ACD,CD,AD,ACD,ACD,ACD,ACD,ACD
Numeric,31,JEE Adv 2019 Paper 1,chem,4,2,1,5,5,5,5,5
Numeric,32,JEE Adv 2019 Paper 1,chem,19,18,6,3,16,14,15,11
Numeric,34,JEE Adv 2019 Paper 1,chem,1.02,0.16,0.84,0.16,1.02,1.02,01,0.001
Numeric,35,JEE Adv 2019 Paper 1,chem,6.75,0,1.69,6.75,6.75,6.75,16.88,6.75
MCQ,37,JEE Adv 2019 Paper 1,math,A,B,None,D,B,B,A,A
MCQ,38,JEE Adv 2019 Paper 1,math,C,D,None,D,None,None,B,D
MCQ,39,JEE Adv 2019 Paper 1,math,B,A,D,A,B,C,B,B
MCQ,40,JEE Adv 2019 Paper 1,math,A,D,A,A,A,None,B,A
MCQ(multiple),42,JEE Adv 2019 Paper 1,math,ABD,CD,None,None,D,None,AD,None
MCQ(multiple),43,JEE Adv 2019 Paper 1,math,AB,ABCD,AB,AB,AB,AB,ABC,ABC
MCQ(multiple),44,JEE Adv 2019 Paper 1,math,ACD,ABD,ABC,ACD,A,None,ABD,AD
MCQ(multiple),45,JEE Adv 2019 Paper 1,math,BC,AB,ABC,BD,AB,AB,B,B
MCQ(multiple),47,JEE Adv 2019 Paper 1,math,AB,CD,D,AB,C,None,B,ABD
MCQ(multiple),48,JEE Adv 2019 Paper 1,math,ABC,A,A,None,A,A,C,AC
Numeric,49,JEE Adv 2019 Paper 1,math,3,6,9,3,-1.14,4,36,9
Numeric,50,JEE Adv 2019 Paper 1,math,157,5,34,10,17,None,115,0
Numeric,51,JEE Adv 2019 Paper 1,math,0.5,0.5,0.02,0.54,1,0.33,0.66,0.83
Numeric,52,JEE Adv 2019 Paper 1,math,10,0,7.14,2.12,9.66,9.66,1,0
Numeric,53,JEE Adv 2019 Paper 1,math,4,8.45,0.042,None,1.63,1.63,None,0.32
Numeric,54,JEE Adv 2019 Paper 1,math,0.75,None,None,24,0.03,0.03,2.25,1.5
MCQ(multiple),1,JEE Adv 2019 Paper 2,phy,ACD,ABCD,BC,AC,ABC,ABC,ABC,AC
MCQ(multiple),5,JEE Adv 2019 Paper 2,phy,ACD,ACD,ABC,AC,ACD,ACD,A,ABCD
MCQ(multiple),8,JEE Adv 2019 Paper 2,phy,AD,BC,ACD,ACD,ABD,ABD,AD,AD
Numeric,13,JEE Adv 2019 Paper 2,phy,135,0,215,215,215,215,None,215
Numeric,14,JEE Adv 2019 Paper 2,phy,0.69,40,0.55,1.25,1.25,1.25,1.25,1.25
MCQ(multiple),19,JEE Adv 2019 Paper 2,chem,ABC,ABCD,AC,ABC,ABC,ABC,ABC,ABC
MCQ(multiple),20,JEE Adv 2019 Paper 2,chem,ABD,ABD,AB,ABD,ABC,ABC,ABCD,ABCD
MCQ(multiple),21,JEE Adv 2019 Paper 2,chem,ACD,BD,CD,ACD,AD,AD,AD,AD
MCQ(multiple),22,JEE Adv 2019 Paper 2,chem,AB,AD,AD,ABD,AB,AB,AB,AB
MCQ(multiple),26,JEE Adv 2019 Paper 2,chem,BC,ABCD,ABC,BC,BC,BC,BC,BC
Numeric,27,JEE Adv 2019 Paper 2,chem,288,36,324,72,36,36,36,36
Numeric,28,JEE Adv 2019 Paper 2,chem,6,2,6,6,6,6,8,4
Numeric,29,JEE Adv 2019 Paper 2,chem,2.3,9000,1.08,2.22,4.61,4.61,9,0.64
Numeric,30,JEE Adv 2019 Paper 2,chem,2.98,3,1,0.33,2.98,2.98,1,2.98
Numeric,32,JEE Adv 2019 Paper 2,chem,10,12,8,1,3,5,4,3
MCQ(multiple),37,JEE Adv 2019 Paper 2,math,ABC,ABCD,AB,BD,B,B,ABCD,BD
MCQ(multiple),40,JEE Adv 2019 Paper 2,math,AB,AC,BD,ABD,ABCD,AC,ACD,ABCD
MCQ(multiple),41,JEE Adv 2019 Paper 2,math,BCD,AC,ABD,AC,A,A,A,ABCD
MCQ(multiple),42,JEE Adv 2019 Paper 2,math,AD,None,BD,ABCD,AD,AD,A,None
MCQ(multiple),43,JEE Adv 2019 Paper 2,math,ABD,ABCD,AD,D,D,None,ABCD,ABCD
MCQ(multiple),44,JEE Adv 2019 Paper 2,math,AC,ABCD,B,C,C,C,B,ABC
Numeric,45,JEE Adv 2019 Paper 2,math,6.2,0,None,None,None,None,None,0.5
Numeric,46,JEE Adv 2019 Paper 2,math,30,6,150,18,24,24,15,24
Numeric,47,JEE Adv 2019 Paper 2,math,422,57,576,3024,255,90,422,129
Numeric,48,JEE Adv 2019 Paper 2,math,0,None,0.97,None,None,None,None,0.26
Numeric,49,JEE Adv 2019 Paper 2,math,0.5,None,None,0,None,None,None,0
MCQ(multiple),7,JEE Adv 2020 Paper 1,phy,BC,AC,D,BC,B,BC,BC,BC
MCQ(multiple),8,JEE Adv 2020 Paper 1,phy,BCD,ABCD,AC,ABCD,ABCD,ABCD,ABCD,ABCD
MCQ(multiple),9,JEE Adv 2020 Paper 1,phy,AB,D,ABCD,A,AB,AB,ABC,ABC
Numeric,13,JEE Adv 2020 Paper 1,phy,25.6,57.14,63.16,22.22,33.33,33.33,6.25,27.78
Numeric,16,JEE Adv 2020 Paper 1,phy,1.77,0.093,0.72,None,1.33,1.33,2.4,-1.33
Numeric,17,JEE Adv 2020 Paper 1,phy,0.62,-50,0.13,0.625,0.63,0.63,0.63,0.625
Numeric,18,JEE Adv 2020 Paper 1,phy,6.4,0,8,8,0.0625,0.16,12.8,5.33
MCQ,20,JEE Adv 2020 Paper 1,chem,B,C,B,B,None,B,B,B
MCQ,21,JEE Adv 2020 Paper 1,chem,A,A,A,A,A,A,A,A
MCQ(multiple),25,JEE Adv 2020 Paper 1,chem,ABC,A,AD,AB,ABC,A,A,AB
MCQ(multiple),28,JEE Adv 2020 Paper 1,chem,AC,AD,AD,ABCD,ABCD,ABCD,ABCD,ABC
MCQ(multiple),29,JEE Adv 2020 Paper 1,chem,ABD,ABD,D,AD,AD,AD,D,AD
Numeric,31,JEE Adv 2020 Paper 1,chem,0.11,0.18,0.41,0.056,0.1,0.1,0.0556,0.1
Numeric,33,JEE Adv 2020 Paper 1,chem,13.32,11.7,9.01,13.34,13.33,13.33,13.33,13.33
Numeric,34,JEE Adv 2020 Paper 1,chem,6.15,14.52,13.3,6.15,7.38,6.15,6.15,6.15
Numeric,35,JEE Adv 2020 Paper 1,chem,1.2,8.43,2.68,1203.2,0.752,0.752,7.52,12
MCQ,37,JEE Adv 2020 Paper 1,math,D,A,None,B,None,153600,A,A
MCQ,38,JEE Adv 2020 Paper 1,math,C,D,A,B,A,A,A,A
MCQ,39,JEE Adv 2020 Paper 1,math,A,B,A,A,A,C,A,A
MCQ,40,JEE Adv 2020 Paper 1,math,A,A,D,A,A,None,A,A
MCQ,41,JEE Adv 2020 Paper 1,math,B,B,A,B,B,B,B,B
MCQ,42,JEE Adv 2020 Paper 1,math,C,B,C,B,C,None,None,C
MCQ(multiple),43,JEE Adv 2020 Paper 1,math,AC,AC,AC,ABCD,BCD,BCD,ABC,ABC
MCQ(multiple),44,JEE Adv 2020 Paper 1,math,BCD,ABCD,B,AD,ABCD,ABCD,CD,BD
MCQ(multiple),45,JEE Adv 2020 Paper 1,math,BC,ABD,BCD,BC,ABC,BD,BC,AB
MCQ(multiple),46,JEE Adv 2020 Paper 1,math,BC,A,ACD,None,ACD,ACD,None,C
MCQ(multiple),47,JEE Adv 2020 Paper 1,math,AB,None,BD,AD,AC,D,A,None
MCQ(multiple),48,JEE Adv 2020 Paper 1,math,ABD,AC,BCD,ABCD,BD,D,A,BD
Numeric,49,JEE Adv 2020 Paper 1,math,8,None,9,8,10,10,11,8
Numeric,50,JEE Adv 2020 Paper 1,math,1,None,2,7,None,None,None,2
Numeric,51,JEE Adv 2020 Paper 1,math,1,2,None,0.82,0.5,0.83,None,1
Numeric,52,JEE Adv 2020 Paper 1,math,108,None,None,123.75,123.75,123.75,None,141.75
Numeric,53,JEE Adv 2020 Paper 1,math,3,0,4,4,4,4,4,2
