Type,Index,Description,Subject,Gold,Random,GPT3_normal,GPT3.5_normal,GPT4_normal,GPT4_CoT,GPT4_CoT_self_refine,GPT4_CoT+OneShot,GPT4_CoT+SC@8
MCQ(multiple),9,JEE Adv 2016 Paper 2,phy,ABD,0.203125,0.5,0.0,0.5,0.5,0.5,0.0,0.0
MCQ(multiple),10,JEE Adv 2016 Paper 2,phy,BC,0.09375,0.0,0.0,0.0,1.0,0.25,0.25,0.0
MCQ(multiple),12,JEE Adv 2016 Paper 2,phy,ABD,0.203125,0.0,0.0,0.5,0.0,0.0,0.0,0.0
MCQ,19,JEE Adv 2016 Paper 2,chem,D,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MCQ,22,JEE Adv 2016 Paper 2,chem,A,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),25,JEE Adv 2016 Paper 2,chem,AC,0.09375,1.0,0.0,0.0,1.0,1.0,0.0,0.25
MCQ(multiple),26,JEE Adv 2016 Paper 2,chem,AB,0.09375,0.25,0.25,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),27,JEE Adv 2016 Paper 2,chem,BCD,0.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),28,JEE Adv 2016 Paper 2,chem,ABC,0.203125,0.0,1.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),29,JEE Adv 2016 Paper 2,chem,BD,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),30,JEE Adv 2016 Paper 2,chem,BC,0.09375,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MCQ,37,JEE Adv 2016 Paper 2,math,B,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,38,JEE Adv 2016 Paper 2,math,B,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MCQ,40,JEE Adv 2016 Paper 2,math,A,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MCQ,42,JEE Adv 2016 Paper 2,math,C,0.25,0.0,0.0,0.0,1.0,1.0,0.0,1.0
MCQ(multiple),44,JEE Adv 2016 Paper 2,math,AB,0.09375,0.0,0.0,1.0,1.0,1.0,0.0,1.0
MCQ(multiple),45,JEE Adv 2016 Paper 2,math,AD,0.09375,0.0,0.0,0.25,0.0,0.0,0.0,0.25
MCQ(multiple),46,JEE Adv 2016 Paper 2,math,BC,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),47,JEE Adv 2016 Paper 2,math,ACD,0.203125,0.25,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),48,JEE Adv 2016 Paper 2,math,ACD,0.203125,0.25,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),49,JEE Adv 2016 Paper 2,math,BCD,0.203125,0.0,0.5,0.0,1.0,1.0,1.0,1.0
MCQ(multiple),50,JEE Adv 2016 Paper 2,math,BC,0.09375,0.25,0.25,0.25,1.0,1.0,0.0,0.0
MCQ(multiple),1,JEE Adv 2017 Paper 1,phy,ABD,0.203125,0.5,0.5,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),4,JEE Adv 2017 Paper 1,phy,C,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),7,JEE Adv 2017 Paper 1,phy,ACD,0.203125,0.25,0.5,0.5,0.25,0.25,0.0,0.5
Integer,8,JEE Adv 2017 Paper 1,phy,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,9,JEE Adv 2017 Paper 1,phy,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Integer,11,JEE Adv 2017 Paper 1,phy,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Integer,12,JEE Adv 2017 Paper 1,phy,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),19,JEE Adv 2017 Paper 1,chem,ABC,0.203125,0.0,0.0,0.5,1.0,1.0,0.5,1.0
MCQ(multiple),21,JEE Adv 2017 Paper 1,chem,ABD,0.203125,0.0,0.25,1.0,0.5,0.5,1.0,0.5
MCQ(multiple),22,JEE Adv 2017 Paper 1,chem,CD,0.09375,0.25,1.0,0.25,1.0,1.0,0.25,1.0
MCQ(multiple),23,JEE Adv 2017 Paper 1,chem,BCD,0.203125,0.5,0.25,0.5,0.5,0.5,0.25,0.5
Integer,26,JEE Adv 2017 Paper 1,chem,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Integer,27,JEE Adv 2017 Paper 1,chem,6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Integer,28,JEE Adv 2017 Paper 1,chem,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Integer,29,JEE Adv 2017 Paper 1,chem,5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
MCQ(multiple),37,JEE Adv 2017 Paper 1,math,ABC,0.203125,0.0,0.0,0.0,0.0,0.0,0.5,0.0
MCQ(multiple),38,JEE Adv 2017 Paper 1,math,C,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),40,JEE Adv 2017 Paper 1,math,AB,0.09375,0.0,0.0,1.0,1.0,1.0,1.0,0.0
MCQ(multiple),41,JEE Adv 2017 Paper 1,math,BD,0.09375,0.0,0.25,0.25,0.0,0.0,0.25,1.0
MCQ(multiple),42,JEE Adv 2017 Paper 1,math,AB,0.09375,0.0,1.0,1.0,1.0,1.0,0.25,1.0
MCQ(multiple),43,JEE Adv 2017 Paper 1,math,AB,0.09375,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Integer,44,JEE Adv 2017 Paper 1,math,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Integer,45,JEE Adv 2017 Paper 1,math,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,46,JEE Adv 2017 Paper 1,math,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Integer,47,JEE Adv 2017 Paper 1,math,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Integer,48,JEE Adv 2017 Paper 1,math,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MCQ,1,JEE Adv 2017 Paper 2,phy,A,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0
MCQ,3,JEE Adv 2017 Paper 2,phy,D,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0
MCQ,6,JEE Adv 2017 Paper 2,phy,B,0.25,1.0,0.0,1.0,1.0,1.0,1.0,1.0
MCQ,7,JEE Adv 2017 Paper 2,phy,B,0.25,0.0,1.0,0.0,1.0,1.0,1.0,1.0
MCQ(multiple),9,JEE Adv 2017 Paper 2,phy,AD,0.09375,0.25,0.0,1.0,1.0,1.0,1.0,1.0
MCQ,20,JEE Adv 2017 Paper 2,chem,B,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0
MCQ,21,JEE Adv 2017 Paper 2,chem,A,0.25,0.0,0.0,0.0,1.0,1.0,1.0,0.0
MCQ,22,JEE Adv 2017 Paper 2,chem,C,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0
MCQ,23,JEE Adv 2017 Paper 2,chem,C,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),26,JEE Adv 2017 Paper 2,chem,AB,0.09375,0.0,0.25,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),27,JEE Adv 2017 Paper 2,chem,BD,0.09375,0.0,0.0,1.0,0.0,0.0,1.0,0.0
MCQ(multiple),28,JEE Adv 2017 Paper 2,chem,AB,0.09375,0.0,1.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),30,JEE Adv 2017 Paper 2,chem,ABD,0.203125,0.5,0.5,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),31,JEE Adv 2017 Paper 2,chem,AD,0.09375,0.0,0.25,1.0,1.0,1.0,0.25,1.0
MCQ,37,JEE Adv 2017 Paper 2,math,C,0.25,1.0,0.0,0.0,1.0,1.0,0.0,1.0
MCQ,38,JEE Adv 2017 Paper 2,math,D,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0
MCQ,39,JEE Adv 2017 Paper 2,math,A,0.25,0.0,0.0,1.0,1.0,0.0,0.0,1.0
MCQ,40,JEE Adv 2017 Paper 2,math,D,0.25,0.0,0.0,1.0,0.0,0.0,1.0,1.0
MCQ,41,JEE Adv 2017 Paper 2,math,B,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MCQ,42,JEE Adv 2017 Paper 2,math,D,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MCQ,43,JEE Adv 2017 Paper 2,math,B,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),46,JEE Adv 2017 Paper 2,math,AC,0.09375,0.25,1.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),47,JEE Adv 2017 Paper 2,math,AD,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),48,JEE Adv 2017 Paper 2,math,BC,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),49,JEE Adv 2017 Paper 2,math,BC,0.09375,0.0,0.0,0.0,1.0,1.0,1.0,0.0
MCQ(multiple),50,JEE Adv 2017 Paper 2,math,BD,0.09375,0.25,0.0,1.0,0.0,0.0,1.0,0.0
MCQ(multiple),1,JEE Adv 2018 Paper 1,phy,BC,0.09375,0.0,1.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),2,JEE Adv 2018 Paper 1,phy,AC,0.09375,0.0,1.0,1.0,1.0,1.0,0.25,0.0
MCQ(multiple),3,JEE Adv 2018 Paper 1,phy,AC,0.09375,0.0,0.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),5,JEE Adv 2018 Paper 1,phy,ABD,0.203125,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,7,JEE Adv 2018 Paper 1,phy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Numeric,8,JEE Adv 2018 Paper 1,phy,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,9,JEE Adv 2018 Paper 1,phy,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,13,JEE Adv 2018 Paper 1,phy,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),19,JEE Adv 2018 Paper 1,chem,BC,0.09375,0.0,0.25,1.0,0.0,0.0,1.0,1.0
MCQ(multiple),20,JEE Adv 2018 Paper 1,chem,BC,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),21,JEE Adv 2018 Paper 1,chem,ABC,0.203125,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Numeric,25,JEE Adv 2018 Paper 1,chem,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,26,JEE Adv 2018 Paper 1,chem,2992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,27,JEE Adv 2018 Paper 1,chem,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,28,JEE Adv 2018 Paper 1,chem,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Numeric,30,JEE Adv 2018 Paper 1,chem,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Numeric,31,JEE Adv 2018 Paper 1,chem,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),37,JEE Adv 2018 Paper 1,math,ABD,0.203125,1.0,0.25,0.25,0.25,0.25,0.25,0.25
MCQ(multiple),38,JEE Adv 2018 Paper 1,math,BCD,0.203125,0.0,0.5,0.25,0.0,0.0,0.0,0.25
MCQ(multiple),39,JEE Adv 2018 Paper 1,math,CD,0.09375,0.0,1.0,0.25,1.0,1.0,0.0,0.25
MCQ(multiple),40,JEE Adv 2018 Paper 1,math,ABD,0.203125,0.5,1.0,0.5,1.0,1.0,1.0,1.0
MCQ(multiple),41,JEE Adv 2018 Paper 1,math,BC,0.09375,0.25,0.0,0.0,0.0,0.0,0.0,1.0
Numeric,43,JEE Adv 2018 Paper 1,math,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,44,JEE Adv 2018 Paper 1,math,625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Numeric,45,JEE Adv 2018 Paper 1,math,3748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,46,JEE Adv 2018 Paper 1,math,2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Numeric,47,JEE Adv 2018 Paper 1,math,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Numeric,48,JEE Adv 2018 Paper 1,math,3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Numeric,49,JEE Adv 2018 Paper 1,math,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Numeric,50,JEE Adv 2018 Paper 1,math,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),1,JEE Adv 2018 Paper 2,phy,ABD,0.203125,0.0,0.25,0.25,0.5,0.25,0.0,0.25
MCQ(multiple),2,JEE Adv 2018 Paper 2,phy,ACD,0.203125,0.0,1.0,1.0,0.5,0.5,1.0,1.0
MCQ(multiple),5,JEE Adv 2018 Paper 2,phy,AC,0.09375,1.0,0.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),6,JEE Adv 2018 Paper 2,phy,AC,0.09375,1.0,0.25,0.0,0.0,0.0,0.0,0.0
Numeric,7,JEE Adv 2018 Paper 2,phy,6.3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Numeric,8,JEE Adv 2018 Paper 2,phy,30,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Numeric,9,JEE Adv 2018 Paper 2,phy,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Numeric,10,JEE Adv 2018 Paper 2,phy,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,11,JEE Adv 2018 Paper 2,phy,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Numeric,12,JEE Adv 2018 Paper 2,phy,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Numeric,13,JEE Adv 2018 Paper 2,phy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,14,JEE Adv 2018 Paper 2,phy,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MCQ(multiple),19,JEE Adv 2018 Paper 2,chem,ABD,0.203125,0.5,0.0,0.5,1.0,1.0,1.0,1.0
MCQ(multiple),20,JEE Adv 2018 Paper 2,chem,BD,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,25,JEE Adv 2018 Paper 2,chem,6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Numeric,26,JEE Adv 2018 Paper 2,chem,6.47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Numeric,27,JEE Adv 2018 Paper 2,chem,126,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Numeric,30,JEE Adv 2018 Paper 2,chem,-14.6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Numeric,31,JEE Adv 2018 Paper 2,chem,8500,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Numeric,32,JEE Adv 2018 Paper 2,chem,-11.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),37,JEE Adv 2018 Paper 2,math,D,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),41,JEE Adv 2018 Paper 2,math,ACD,0.203125,0.25,0.5,0.0,0.0,0.0,0.0,0.0
Numeric,43,JEE Adv 2018 Paper 2,math,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,44,JEE Adv 2018 Paper 2,math,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,45,JEE Adv 2018 Paper 2,math,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,46,JEE Adv 2018 Paper 2,math,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Numeric,47,JEE Adv 2018 Paper 2,math,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,48,JEE Adv 2018 Paper 2,math,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,49,JEE Adv 2018 Paper 2,math,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Numeric,50,JEE Adv 2018 Paper 2,math,646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,1,JEE Adv 2019 Paper 1,phy,A,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MCQ,2,JEE Adv 2019 Paper 1,phy,C,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MCQ,3,JEE Adv 2019 Paper 1,phy,A,0.25,1.0,1.0,1.0,0.0,0.0,1.0,1.0
MCQ,4,JEE Adv 2019 Paper 1,phy,B,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MCQ(multiple),8,JEE Adv 2019 Paper 1,phy,ABC,0.203125,0.0,0.0,0.5,0.0,1.0,0.5,0.5
MCQ(multiple),11,JEE Adv 2019 Paper 1,phy,ABC,0.203125,0.0,1.0,1.0,0.0,0.5,0.25,0.5
MCQ(multiple),12,JEE Adv 2019 Paper 1,phy,BC,0.09375,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Numeric,16,JEE Adv 2019 Paper 1,phy,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MCQ,19,JEE Adv 2019 Paper 1,chem,C,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MCQ,20,JEE Adv 2019 Paper 1,chem,C,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),23,JEE Adv 2019 Paper 1,chem,AB,0.09375,0.0,0.0,0.0,1.0,1.0,0.0,1.0
MCQ(multiple),24,JEE Adv 2019 Paper 1,chem,ABD,0.203125,0.5,0.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),25,JEE Adv 2019 Paper 1,chem,CD,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),26,JEE Adv 2019 Paper 1,chem,ACD,0.203125,0.0,0.5,0.0,1.0,1.0,1.0,1.0
MCQ(multiple),27,JEE Adv 2019 Paper 1,chem,BD,0.09375,0.0,0.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),28,JEE Adv 2019 Paper 1,chem,ABD,0.203125,0.0,0.25,0.0,0.5,0.5,0.0,0.5
MCQ(multiple),29,JEE Adv 2019 Paper 1,chem,ACD,0.203125,0.5,0.5,1.0,1.0,1.0,1.0,1.0
Numeric,31,JEE Adv 2019 Paper 1,chem,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,32,JEE Adv 2019 Paper 1,chem,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,34,JEE Adv 2019 Paper 1,chem,1.02,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Numeric,35,JEE Adv 2019 Paper 1,chem,6.75,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
MCQ,37,JEE Adv 2019 Paper 1,math,A,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MCQ,38,JEE Adv 2019 Paper 1,math,C,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,39,JEE Adv 2019 Paper 1,math,B,0.25,0.0,0.0,0.0,1.0,0.0,1.0,1.0
MCQ,40,JEE Adv 2019 Paper 1,math,A,0.25,0.0,1.0,1.0,1.0,0.0,0.0,1.0
MCQ(multiple),42,JEE Adv 2019 Paper 1,math,ABD,0.203125,0.0,0.0,0.0,0.25,0.0,0.5,0.0
MCQ(multiple),43,JEE Adv 2019 Paper 1,math,AB,0.09375,0.0,1.0,1.0,1.0,1.0,0.0,0.0
MCQ(multiple),44,JEE Adv 2019 Paper 1,math,ACD,0.203125,0.0,0.0,1.0,0.25,0.0,0.0,0.5
MCQ(multiple),45,JEE Adv 2019 Paper 1,math,BC,0.09375,0.0,0.0,0.0,0.0,0.0,0.25,0.25
MCQ(multiple),47,JEE Adv 2019 Paper 1,math,AB,0.09375,0.0,0.0,1.0,0.0,0.0,0.25,0.0
MCQ(multiple),48,JEE Adv 2019 Paper 1,math,ABC,0.203125,0.25,0.25,0.0,0.25,0.25,0.25,0.5
Numeric,49,JEE Adv 2019 Paper 1,math,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Numeric,50,JEE Adv 2019 Paper 1,math,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,51,JEE Adv 2019 Paper 1,math,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,52,JEE Adv 2019 Paper 1,math,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,53,JEE Adv 2019 Paper 1,math,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,54,JEE Adv 2019 Paper 1,math,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),1,JEE Adv 2019 Paper 2,phy,ACD,0.203125,0.0,0.0,0.5,0.0,0.0,0.0,0.5
MCQ(multiple),5,JEE Adv 2019 Paper 2,phy,ACD,0.203125,1.0,0.0,0.5,1.0,1.0,0.25,0.0
MCQ(multiple),8,JEE Adv 2019 Paper 2,phy,AD,0.09375,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Numeric,13,JEE Adv 2019 Paper 2,phy,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
